"id","mission_name","mission_cost","launch_time_date","rocket_company_id","mission_status_id","launch_location_id"
1,"Zenit-2 | EPN 03.0694 n†­1",,"1985-04-13 08:00:00",28,4,95
2,"Thor DM-21 Agena-B | Discoverer 34",,"1961-11-05 20:00:00",33,4,109
3,"Blue Scout II | Mercury-Scout 1 (MS-1)",,"1961-11-01 15:32:00",38,4,72
4,"Cosmos-2I (63S1) | DS-1 1",,"1961-10-27 16:30:00",28,4,98
5,"Thor DM-21 Agena-B | Discoverer 33",,"1961-10-23 19:23:00",33,4,58
6,"Minotaur C (Taurus) | Orbiting Carbon Observatory",45,"2009-02-24 09:55:00",21,4,123
7,"Proton K/Block D | Cosmos 305 (Luna-16b)",,"1969-10-22 14:09:00",28,4,81
8,"Atlas-LV3 Agena-B | Samos 3",,"1961-09-09 19:28:00",49,4,70
9,"Titan-III(33)B Agena-D | Jumpseat 2",,"1972-02-16 09:59:00",7,4,7
10,"Atlas-LV3 Agena-B | Ranger 1",,"1961-08-23 10:04:00",49,4,51
11,"Kaituozhe 1 | PS 2",,"2003-09-16 00:00:00",42,4,101
12,"GSLV Mk II | GSAT-4",47,"2010-04-15 10:57:00",12,4,50
13,"Thor DM-21 Agena-B | Discoverer 28",,"1961-08-04 00:01:00",33,4,109
14,"Thor DM-21 Agena-B | Discoverer 27",,"1961-07-21 22:35:00",33,4,16
15,"Zenit-2 | Tselina-2 n†­10",,"1992-02-05 18:14:00",28,4,95
16,"Cosmos-3 (11K65) | Strela-2 #2",,"1966-11-16 13:00:00",28,4,76
17,"Cosmos-3M (11K65M) | Strela-1M satellites",,"1982-11-24 11:00:00",28,4,132
18,"Scout X-1 | Explorer (S-55)",,"1961-06-30 17:09:00",38,4,129
19,"Voskhod | Zenit-4MK n†­23",,"1974-04-12 08:00:00",28,4,119
20,"Thor DM-21 Agena-B | Discoverer 24",,"1961-06-08 21:16:00",33,4,16
21,"Vega | Falcon Eye 1",37,"2019-07-11 01:53:00",13,4,117
22,"Atlas-D Mercury | Mercury-Atlas 3 (MA-3)",,"1961-04-25 16:15:00",38,4,79
23,"Lambda-IV S | Osumi",,"1969-09-22 00:00:00",45,4,64
24,"Thor DM-21 Agena-B | Discoverer 22",,"1961-03-30 20:34:00",33,4,16
25,"Atlas-SLV3D Centaur-D1AR | Intelsat 4A F5",,"1977-09-30 01:02:00",49,4,93
26,"Mu-III C | Corsa A",,"1976-02-04 05:00:00",36,4,11
27,"Ariane 44LP | Eutelsat 2F5, Turksat 1A",,"1994-01-24 21:37:00",13,4,107
28,"Lambda-IV S | Osumi",,"1966-09-26 00:00:00",45,4,64
29,"Long March 3B/E | Nusantara Dua",29.15,"2020-04-09 11:46:00",56,4,90
30,"Molniya | 1VA n†­1 (Venera 1)",,"1961-02-04 01:18:00",28,4,97
31,"LauncherOne | Demo Flight",12,"2020-05-25 19:50:00",39,4,116
32,"Vostok | 1K n†­5 (Korabl-Sputnik 3)",,"1960-12-22 07:45:00",28,4,97
33,"Vostok-2 | Zenit-2 n†­40",,"1966-09-16 09:30:00",28,4,119
34,"Proton-M/DM-3 | Cosmos 2488, 2489 & 2490",65,"2013-07-02 02:38:00",55,4,81
35,"Atlas-D Able | Pioneer P-31",,"1960-12-15 09:10:00",49,4,51
36,"Long March 4C | Yaogan Weixing-33",64.68,"2019-05-22 22:55:00",56,4,111
37,"Scout X-1 | Explorer (S-56)",,"1960-12-04 21:14:00",38,4,129
38,"Cosmos-2I (63SM) | DS-P1-You #23",,"1969-07-23 09:00:00",28,4,120
39,"Thor-DM21 Ablestar | Transit 3A & GRAB-2",,"1960-11-30 19:50:00",33,4,77
40,"Titan IIIC | IDCSP-1 8-14, GGTS-2",,"1966-08-26 13:59:00",7,4,106
41,"Mercury-Redstone | Mercury-Redstone 1 (MR-1)",,"1960-11-21 14:00:00",38,4,69
42,"Diamant B | Polaire",,"1971-12-05 15:30:00",8,4,133
43,"Thor DM-21 Agena-B | Discoverer 16",,"1960-10-26 20:26:00",33,4,16
44,"Molniya | 1M n†­2 (Marsnik 2)",,"1960-10-14 13:51:00",28,4,97
45,"Atlas-LV3 Agena-A | Samos 1",,"1960-10-11 20:33:00",49,4,70
46,"Molniya | 1M n†­1 (Marsnik 1)",,"1960-10-10 14:27:00",28,4,97
47,"Atlas-SLV3A Agena-D | AFP-827 (Canyon-4)",,"1971-12-04 22:33:00",49,4,102
48,"Atlas-D Able | Pioneer P-30",,"1960-09-25 15:13:00",49,4,51
49,"Voskhod | Zenit-2M n†­25",,"1971-12-03 13:00:00",28,4,110
50,"Thor-DM21 Ablestar | Courier 1A",,"1960-08-18 19:58:00",33,4,77
51,"N1-L3 | 5L (Zond L1S-2)",,"1969-07-03 20:18:00",28,4,114
52,"Ariane 1 | MARCES-B & Sirio-2",,"1982-09-09 02:12:00",24,4,117
53,"Titan IIIE | Sphinx & Viking-DS",,"1974-02-11 13:48:00",7,4,106
54,"Atlas-D Mercury | Mercury-Atlas 1 (MA-1)",,"1960-07-29 13:13:00",38,4,79
55,"Vostok | 1K n†­2 (Korabl-Sputnik 2)",,"1960-07-28 09:31:00",28,4,97
56,"Thor-DM18 Agena-A | Discoverer 12",,"1960-06-29 22:00:00",33,4,16
57,"Safir-1B+ | Unknown Payload",,"2012-05-23 00:00:00",9,4,105
58,"Proton K/Block D | Luna-15b",,"1969-06-14 23:59:00",28,4,81
59,"Soyuz FG | Soyuz MS-10 (56S)",,"2018-10-11 08:40:00",31,4,97
60,"Thor DM-19 Delta | Echo 1",,"1960-05-13 09:16:00",33,4,36
61,"Vostok | E-3 n†­3 (Luna-3)",,"1960-04-16 00:00:00",28,4,97
62,"Conestoga-1620 | METEOR",20,"1995-10-23 22:03:00",35,4,100
63,"Vostok | E-3 n†­2 (Luna-3)",,"1960-04-15 15:06:00",28,4,97
64,"Soyuz 2.1b/Fregat-M | Meteor-M No.2-1 & Rideshares",,"2017-11-28 05:41:00",31,4,54
65,"Atlas-LV3 Agena-A | Midas 1",,"1960-02-26 17:25:00",49,4,79
66,"Thor-DM18 Agena-A | Discoverer 10",,"1960-02-19 20:15:00",33,4,58
67,"Thor-DM18 Agena-A | Discoverer 9",,"1960-02-04 18:51:00",33,4,16
68,"Atlas-D Able | Pioneer P-3",,"1959-11-26 07:26:00",49,4,79
69,"Thor-DM18 Agena-A | Discoverer 8",,"1959-11-20 19:25:00",33,4,58
70,"Cosmos-3M (11K65M) | DS-P1 satellite",,"1975-12-19 14:00:00",28,4,132
71,"Thor DM-18 Able-II | Transit 1A",,"1959-09-17 14:34:00",33,4,36
72,"Minotaur C (Taurus) | Glory, KySat-1, Hermes, and Explorer-1 [PRIME]",45,"2011-03-04 10:09:00",21,4,123
73,"Europa 2 | Test flight",,"1971-11-04 21:10:00",48,4,55
74,"Thor-DM18 Agena-A | Discoverer 4",,"1959-06-25 22:47:00",33,4,58
75,"Vanguard | Vanguard SLV-6",,"1959-06-22 20:16:00",40,4,3
76,"Vostok | E-1A n†­1 (Luna-2)",,"1959-06-18 08:08:00",28,4,97
77,"Thor-DM18 Agena-A | Discoverer 3",,"1959-06-03 20:09:00",33,4,16
78,"Vanguard | Vanguard SLV-5",,"1959-04-14 02:49:00",40,4,3
79,"Thor-DM18 Agena-A | Discoverer 1",,"1959-02-28 21:49:00",33,4,16
80,"Atlas-G Centaur-D1AR | FLTSATCOM-6",,"1987-03-26 21:22:00",49,4,18
81,"Vostok | E-1 n†­3 (Luna-1)",,"1958-12-04 18:18:00",28,4,97
82,"Thor-DM 18 Able I | Pioneer 2",,"1958-11-08 07:30:00",38,4,36
